rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
80	metastatic::ARID1A+KEAP1+TP53	metastatic	ARID1A+KEAP1+TP53	3	14	0.0005156917636658	0.0003588330688891	3	0.0003588330688891	0.0	metastatic::KEAP1+TP53	0.0909345783665256	0.0002311214788304	rule_a_one_step	True	True	True	stable	True	1.4371355567231905	1.7545733673991044	0.8111202752235969	True	relative_bottleneck	1.5932678532619051	0.8290882405576508	2.6419665656082603	0.0	0.0	500
81	primary::SETD2+STK11	primary	SETD2+STK11	2	7	0.0002578458818329	0.0001813111734538	2	0.0001813111734538	0.0	primary::SETD2	0.0535565508359075	0.0001361205984852	rule_a_one_step	True	True	True	stable	True	1.4221179836794262	1.7362386782444927	0.7959652866364564	False	relative_bottleneck	1.5436534998619644	0.6181936626596534	3.161928274425171	0.0	0.006	500
82	metastatic::EGFR+KEAP1	metastatic	EGFR+KEAP1	2	10	0.0003683512597613	0.000262501781252	2	0.000262501781252	0.0	metastatic::EGFR	0.0079195028117484	0.0001919490515003	rule_a_one_step	True	True	True	stable	True	1.4032333670316262	1.713182783990981	0.7766790845738877	True	relative_bottleneck	1.5115938862150036	0.5898600488851623	2.547912666494939	0.0	0.0	500
83	primary::NF1	primary	NF1	1	48	0.0017680860468542	0.0012613207083782	1	0.0012613207083782	0.0	primary::WT	0.0208667486843705	0.0012613207083782	rule_a_one_step	True	True	True	stable	True	1.401773580428938	1.7114005563624315	0.775177464704823	True	relative_bottleneck	1.5244094712671397	1.101406250778164	1.986404487929183	0.0	0.0	500
84	primary::STK11	primary	STK11	1	111	0.0040886989833505	0.0029347636028709	1	0.0029347636028709	0.0	primary::WT	0.0485514700126386	0.0029347636028709	rule_a_one_step	True	True	True	stable	True	1.3931953421930012	1.700927537114131	0.7663216806409776	True	relative_bottleneck	1.5106815725800882	1.2230515287047796	1.8307261853079912	0.0	0.0	500
85	metastatic::ATM+KRAS+RBM10	metastatic	ATM+KRAS+RBM10	3	23	0.000847207897451	0.0006106032817589	3	0.0006106032817589	0.0	metastatic::ATM+KRAS	0.1335089707963682	0.0002999870052518	rule_a_one_step	True	True	True	stable	True	1.3874931913615232	1.6939658820781816	0.7604048178505757	True	relative_bottleneck	1.5241344362506224	0.8841752350240522	2.2931874842749864	0.0	0.0	500
86	primary::KRAS+RBM10	primary	KRAS+RBM10	2	155	0.0057094445263002	0.0041162949590212	2	0.0041162949590212	0.0	primary::KRAS	0.0701181532820941	0.0037734868846743	rule_a_one_step	True	True	True	stable	True	1.3870348412230482	1.6934062905058	0.7599281533728568	True	relative_bottleneck	1.527064352111391	1.2794977162641683	1.8221212974710248	0.0	0.0	500
87	metastatic::EGFR+PIK3CA	metastatic	EGFR+PIK3CA	2	44	0.0016207455429497	0.0011793549035561	2	0.0011793549035561	0.0	metastatic::EGFR	0.0364295139682962	0.0008829608144665	rule_a_one_step	True	True	True	stable	True	1.3742644700831497	1.6778151703856097	0.7465837959595573	True	relative_bottleneck	1.477509221916535	1.0267688714379404	2.0317830832411103	0.0	0.0	500
88	metastatic::BRAF+RBM10+TP53	metastatic	BRAF+RBM10+TP53	3	8	0.000294681007809	0.0002158411258835	3	0.0002158411258835	0.0	metastatic::BRAF+TP53	0.0556136113902893	0.0001659312849054	rule_a_one_step	True	True	True	stable	True	1.3652681120776138	1.6668316761103084	0.7371084220795615	False	relative_bottleneck	1.4851518628751026	0.6100010955676346	2.675536903496393	0.0	0.004	500
89	metastatic::ATM+BRAF	metastatic	ATM+BRAF	2	7	0.0002578458818329	0.0001896598485139	2	0.0001896598485139	0.0	metastatic::BRAF	0.051455646182376	0.0001326762646517	rule_a_one_step	True	True	True	stable	True	1.359517486139875	1.659810838675017	0.7310188333459258	False	relative_bottleneck	1.489384681445181	0.5432874474195037	2.706444893241649	0.0	0.004	500
