state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
metastatic::KEAP1+SMARCA4+STK11+TP53	11	0.0004051863857374	0.0009292062221315152	0.5323736273161779	True	full_mhn
metastatic::KRAS+SETD2	7	0.0002578458818329	0.0009228184186789105	0.3411282947672035	True	full_mhn
primary::CDKN2A+KRAS+STK11+TP53	6	0.0002210107558567	0.0009132639807528394	0.29545468327212643	True	full_mhn
metastatic::KEAP1	22	0.0008103727714748	0.0009127707535858641	1.0839192317412392	True	full_mhn
primary::PIK3CA	65	0.0023942831884485	0.000908151170275936	3.2187790582056364	True	full_mhn
primary::ARID1A	30	0.0011050537792839	0.0009037545334773733	1.4928175194648463	True	full_mhn
primary::ATM+KRAS+RBM10+STK11	4	0.0001473405039045	0.0008969105415852323	0.20056115421495774	False	full_mhn
metastatic::BRAF+KRAS+TP53	9	0.0003315161337851	0.0008942773342919433	0.45259134357561387	True	full_mhn
primary::ATM+EGFR+RBM10	14	0.0005156917636658	0.0008906907427447305	0.7068659376908332	True	full_mhn
primary::EGFR+STK11	11	0.0004051863857374	0.0008883943718131302	0.5568302801906032	True	full_mhn
metastatic::EGFR+PIK3CA+RBM10+TP53	4	0.0001473405039045	0.0008732889614323655	0.20598612989155915	False	full_mhn
metastatic::ATM+KRAS+STK11	43	0.0015839104169736	0.0008657095125252805	2.23373795310005	True	full_mhn
metastatic::EGFR+MET	6	0.0002210107558567	0.0008652815609381142	0.3118385186299909	True	full_mhn
primary::EGFR+PIK3CA+RBM10	8	0.000294681007809	0.0008647396495310945	0.416045253708393	True	full_mhn
metastatic::KRAS+PIK3CA	27	0.0009945484013555	0.0008620606213518455	1.408516420590738	True	full_mhn
metastatic::KEAP1+KRAS+SMARCA4+STK11+TP53	2	7.367025195226167e-05	0.0008520327738533845	0.10556249651279016	False	full_mhn
primary::NF1+STK11+TP53	16	0.000589362015618	0.0008355662947179837	0.8611425069216637	True	full_mhn
primary::SMARCA4	16	0.000589362015618	0.0008347710927657847	0.8619628302507053	True	full_mhn
primary::BRAF+STK11+TP53	14	0.0005156917636658	0.0008288409552920347	0.7596137027135892	True	full_mhn
metastatic::NF1	22	0.0008103727714748	0.0008255078859221272	1.1984982708710468	True	full_mhn
metastatic::EGFR+KRAS+TP53	18	0.0006630322675703	0.000821464140356702	0.9854165515748579	True	full_mhn
metastatic::KRAS+MET	6	0.0002210107558567	0.0008106292876323569	0.3328625356331047	True	full_mhn
primary::KEAP1+KRAS+RBM10+SMARCA4+STK11	6	0.0002210107558567	0.0008098344232047881	0.3331892451195592	True	full_mhn
primary::ATM+KEAP1+KRAS+SMARCA4+STK11	4	0.0001473405039045	0.0008088328636052314	0.22240121726044748	False	full_mhn
metastatic::BRAF+SETD2+TP53	10	0.0003683512597613	0.0007972951014671197	0.5640490362095916	True	full_mhn
primary::EGFR+NF1	16	0.000589362015618	0.0007739368316704911	0.929716256184673	True	full_mhn
primary::BRAF+NF1+TP53	9	0.0003315161337851	0.0007685584115109159	0.5266251388579417	True	full_mhn
metastatic::KEAP1+KRAS	39	0.0014365699130691	0.0007563156376601095	2.318982569473143	True	full_mhn
metastatic::ARID1A+KRAS	9	0.0003315161337851	0.000749780399104614	0.5398142984966374	True	full_mhn
primary::CDKN2A	24	0.0008840430234271	0.0007448476399048163	1.449037927514623	True	full_mhn
primary::BRAF+SETD2	36	0.0013260645351407	0.0007387941207143147	2.1913665461761873	True	full_mhn
primary::CDKN2A+EGFR	27	0.0009945484013555	0.0007355075823521724	1.6508688280183985	True	full_mhn
primary::KRAS+MET+TP53	25	0.0009208781494032	0.000730916626467555	1.5381834166207438	True	full_mhn
primary::MET+NF1+TP53	10	0.0003683512597613	0.0007147858162070342	0.6291584462020028	True	full_mhn
metastatic::SETD2	45	0.0016575806689258	0.0007130285365191527	2.838190615184191	True	full_mhn
metastatic::CDKN2A+KRAS	11	0.0004051863857374	0.0007085040203921631	0.6982104160273751	True	full_mhn
metastatic::ATM+KEAP1+KRAS+SMARCA4+STK11	6	0.0002210107558567	0.0007075930562296327	0.3813323459235975	True	full_mhn
primary::EGFR+SMARCA4	30	0.0011050537792839	0.0006931539915794886	1.9463793281244128	True	full_mhn
metastatic::BRAF+STK11+TP53	11	0.0004051863857374	0.000693033686808584	0.7137963077920716	True	full_mhn
metastatic::EGFR+SETD2	13	0.0004788566376897	0.0006858943768809755	0.8523580498848061	True	full_mhn
primary::BRAF+STK11	28	0.0010313835273316	0.0006772444124176696	1.8592960984127862	True	full_mhn
unknown::ATM+EGFR+TP53	12	0.0004420215117135	0.0006750019274852762	0.7994884431758271	True	full_mhn
unknown::CDKN2A+EGFR+TP53	3	0.0001105053779283	0.0006653189088712947	0.20278103964060043	False	full_mhn
primary::ATM+EGFR+RBM10+TP53	4	0.0001473405039045	0.0006638992961073651	0.27095286052000034	False	full_mhn
metastatic::NF1+STK11+TP53	10	0.0003683512597613	0.0006598774890054415	0.6815106454343487	True	full_mhn
metastatic::ATM+EGFR+RBM10+TP53	1	3.683512597613084e-05	0.0006573795525221667	0.06841002761824604	False	full_mhn
metastatic::CDKN2A+EGFR+PIK3CA+TP53	3	0.0001105053779283	0.0006550122924497897	0.20597179867524723	False	full_mhn
primary::CDKN2A+EGFR+PIK3CA+TP53	2	7.367025195226167e-05	0.0006397674046242436	0.14058657260990512	False	full_mhn
primary::EGFR+NF1+RBM10+TP53	3	0.0001105053779283	0.0006393142710861794	0.21102932646256595	False	full_mhn
primary::KEAP1+SMARCA4+STK11	15	0.0005525268896419	0.0006279885036754968	1.074176192970797	True	full_mhn
primary::CDKN2A+EGFR+RBM10+TP53	4	0.0001473405039045	0.0006249179353979901	0.28785445763537015	False	full_mhn
metastatic::BRAF+KRAS	11	0.0004051863857374	0.0006233014961142595	0.79365265417068	True	full_mhn
primary::ATM+KRAS+STK11+TP53	4	0.0001473405039045	0.0006144666894306045	0.2927504719945006	False	full_mhn
metastatic::BRAF+NF1+TP53	10	0.0003683512597613	0.0006143415388704544	0.7320252741106146	True	full_mhn
metastatic::KEAP1+NF1+TP53	15	0.0005525268896419	0.0006140305927634837	1.0985939593778353	True	full_mhn
primary::KEAP1+NF1+STK11+TP53	8	0.000294681007809	0.0006130599548046967	0.5868444413804268	True	full_mhn
metastatic::ATM+KRAS+RBM10	23	0.000847207897451	0.0006106032817588746	1.6939658820787002	True	full_mhn
metastatic::KRAS+RBM10+STK11	4	0.0001473405039045	0.0006080816152165577	0.29582445653873396	False	full_mhn
metastatic::ARID1A+EGFR	16	0.000589362015618	0.000604115269132105	1.1910668214635376	True	full_mhn
unknown::STK11+TP53	5	0.0001841756298806	0.0006026881534108504	0.3730897403821515	True	full_mhn
primary::KRAS+PIK3CA+STK11	2	7.367025195226167e-05	0.0006020160343016836	0.1494025101493701	False	full_mhn
metastatic::ATM+EGFR+PIK3CA+TP53	2	7.367025195226167e-05	0.0005970644826213297	0.15064152916737011	False	full_mhn
metastatic::KEAP1+KRAS+RBM10+STK11	10	0.0003683512597613	0.000596184669769497	0.7543191835857841	True	full_mhn
metastatic::PIK3CA	26	0.0009577132753794	0.0005943658481879065	1.9672314456033047	True	full_mhn
primary::KRAS+RBM10+SETD2	16	0.000589362015618	0.0005935091610525803	1.212351384948101	True	full_mhn
primary::BRAF+KEAP1+STK11	14	0.0005156917636658	0.0005934420611565658	1.0609274062605283	True	full_mhn
primary::KRAS+PIK3CA+RBM10	7	0.0002578458818329	0.0005924119836281496	0.5313860658683812	True	full_mhn
metastatic::KEAP1+KRAS+RBM10+SMARCA4+STK11	4	0.0001473405039045	0.0005919888866015614	0.30386619988301233	False	full_mhn
metastatic::ARID1A	28	0.0010313835273316	0.0005914883418371105	2.1288634185071316	True	full_mhn
metastatic::KEAP1+SMARCA4+TP53	10	0.0003683512597613	0.0005872251256763042	0.7658281529378456	True	full_mhn
primary::EGFR+MET+RBM10	5	0.0001841756298806	0.0005851492401928477	0.3842725090135358	True	full_mhn
primary::MET+STK11+TP53	7	0.0002578458818329	0.0005826183741979112	0.5403184782455535	True	full_mhn
primary::BRAF+CDKN2A+TP53	8	0.000294681007809	0.0005772916905522986	0.6232045819497536	True	full_mhn
