condition	topology	sparsity	placement	repeat	truth_states_evaluable	truth_states_implanted	evaluable_fraction	spearman_R_star	spearman_occupancy	spearman_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	10	10	10	1.0	0.9847319278346618	0.8370221386594626	0.14770978917519917	1.0	0.875
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	1	9	10	0.9	0.8899583485023137	0.8306277919354929	0.05933055656682085	0.90625	0.875
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	2	7	10	0.7	0.8260009854911466	0.8056937179020919	0.020307267589054767	0.8888888888888888	0.8823529411764706
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	3	9	10	0.9	0.9323373174786144	0.9402052824331172	-0.007867964954502815	0.9375	0.967741935483871
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	4	9	10	0.9	0.9492889050691345	0.9238615236833542	0.02542738138578038	0.96875	0.9375
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	5	8	10	0.8	0.9759000729485332	0.9081292832965595	0.0677707896519737	1.0	0.9565217391304348
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	6	9	10	0.9	0.9831920802501751	0.8547320749391973	0.1284600053109778	1.0	0.9032258064516129
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	7	9	10	0.9	0.9153857298880941	0.9153857298880941	0.0	0.9375	0.9375
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	8	7	10	0.7	0.8994232953125818	0.8994232953125818	0.0	0.9444444444444444	0.9444444444444444
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	9	8	10	0.8	0.9334876415650786	0.9208001810246246	0.012687460540453999	0.96	0.9583333333333334
mutual_exclusivity|s=0.20|middle	mutual_exclusivity	0.2	middle	10	8	10	0.8	0.9271050693011065	0.859041213929178	0.0680638553719285	0.9583333333333334	0.9130434782608695
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	1	8	10	0.8	0.8783100656536799	0.8889566369846307	-0.010646571330950816	0.9166666666666666	0.9545454545454546
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	2	7	10	0.7	0.7709342531250701	0.8443565629465053	-0.07342230982143516	0.8333333333333334	0.8888888888888888
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	3	5	10	0.5	0.9486832980505137	0.9733285267845754	-0.02464522873406172	1.0	1.0
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	4	7	10	0.7	0.7525786756697113	0.8270760267212819	-0.07449735105157063	0.8333333333333334	0.9333333333333333
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	5	6	10	0.6	0.7944613465542746	0.9710083124552246	-0.17654696590094998	0.8461538461538461	1.0
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	6	8	10	0.8	0.7516393997017515	0.8773171238168365	-0.12567772411508493	0.8	0.9166666666666666
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	7	7	10	0.7	0.7892898305804289	0.5556508399324771	0.2336389906479518	0.8333333333333334	0.7058823529411765
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	8	6	10	0.6	0.7171371656006363	0.5976143046671969	0.11952286093343945	0.8333333333333334	0.75
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	9	7	10	0.7	0.8627121404018642	0.7964328705698838	0.0662792698319804	0.8888888888888888	0.8333333333333334
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	late	10	8	10	0.8	0.7807200583588266	0.7807200583588266	0.0	0.8333333333333334	0.8333333333333334
mixed|s=0.05|early	mixed	0.05	early	1	10	10	1.0	0.9354953314429287	0.6400757530925302	0.29541957835039856	0.95	0.75
mixed|s=0.05|early	mixed	0.05	early	2	10	10	1.0	0.9354953314429287	0.777837057361552	0.15765827408137678	0.95	0.8461538461538461
mixed|s=0.05|early	mixed	0.05	early	3	10	10	1.0	0.9354953314429287	0.8272235371940313	0.10827179424889743	0.95	0.8717948717948718
mixed|s=0.05|early	mixed	0.05	early	4	10	10	1.0	0.9847319278346618	0.8642633970683911	0.12046853076627073	1.0	0.8974358974358975
mixed|s=0.05|early	mixed	0.05	early	5	10	10	1.0	0.9601136296387952	0.851916777110271	0.10819685252852418	0.975	0.8974358974358975
mixed|s=0.05|early	mixed	0.05	early	6	10	10	1.0	0.9847319278346618	0.9108770332470622	0.07385489458759964	1.0	0.925
mixed|s=0.05|early	mixed	0.05	early	7	10	10	1.0	0.9354953314429287	0.851916777110271	0.0835785543326577	0.95	0.8974358974358975
mixed|s=0.05|early	mixed	0.05	early	8	10	10	1.0	0.9847319278346618	0.7385489458759963	0.2461829819586655	1.0	0.8
mixed|s=0.05|early	mixed	0.05	early	9	10	10	1.0	0.9601136296387952	0.8224338973607243	0.13767973227807095	0.975	0.8918918918918919
mixed|s=0.05|early	mixed	0.05	early	10	10	10	1.0	0.9847319278346618	0.7901836773196717	0.19454825051499014	1.0	0.8461538461538461
mixed|s=0.05|middle	mixed	0.05	middle	1	9	10	0.9	0.9831920802501751	0.5509265966919085	0.43226548355826666	1.0	0.71875
mixed|s=0.05|middle	mixed	0.05	middle	2	10	10	1.0	0.9354953314429287	0.8148769172359114	0.12061841420701735	0.95	0.8717948717948718
mixed|s=0.05|middle	mixed	0.05	middle	3	9	10	0.9	0.9492889050691345	0.727718874936509	0.22157003013262555	0.96875	0.8064516129032258
mixed|s=0.05|middle	mixed	0.05	middle	4	10	10	1.0	0.9601136296387952	0.8916793283125259	0.06843430132626926	0.975	0.9210526315789473
mixed|s=0.05|middle	mixed	0.05	middle	5	9	10	0.9	0.9831920802501751	0.7628214415734117	0.22037063867676343	1.0	0.8125
mixed|s=0.05|middle	mixed	0.05	middle	6	10	10	1.0	0.8370221386594626	0.47649136944674325	0.36053076921271937	0.875	0.7222222222222222
mixed|s=0.05|middle	mixed	0.05	middle	7	9	10	0.9	0.8814825547070536	0.7745312002248224	0.10695135448223125	0.90625	0.8387096774193549
mixed|s=0.05|middle	mixed	0.05	middle	8	9	10	0.9	0.9153857298880941	0.5660035693950626	0.3493821604930315	0.9375	0.7419354838709677
mixed|s=0.05|middle	mixed	0.05	middle	9	10	10	1.0	0.9354953314429287	0.7139306476801298	0.22156468376279892	0.95	0.825
