rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
31	primary::MAP3K1	primary	MAP3K1	1	61	0.005563662896753	0.0037132084586913	1	0.0037132084586913	0.0	primary::WT	0.0340398139975687	0.0037132084586913	rule_a_one_step	True	True	True	stable	True	1.4983438062121175	2.18905040862432	1.1303051767367596	True	relative_bottleneck	1.950342443604923	1.4629164646791466	2.604305712668978	0.0	0.0	500
32	metastatic::ESR1+PIK3CA	metastatic	ESR1+PIK3CA	2	59	0.0053812477198102	0.0036665218268413	2	0.0036665218268413	0.0	metastatic::ESR1	0.3378879591803447	0.0023113459447761	rule_a_one_step	True	True	True	stable	True	1.4676709896961182	2.144238035623125	1.1004650707914423	True	relative_bottleneck	1.9399310822533715	1.3604049574324315	2.5572028784328147	0.0	0.0	500
33	metastatic::BRCA1	metastatic	BRCA1	1	10	0.0009120758847136	0.0006499792076113	1	0.0006499792076113	0.0	metastatic::WT	0.0119570000541115	0.0006499792076113	rule_a_one_step	True	True	True	stable	True	1.4032385538335304	2.0501035322675643	1.0356967691050485	True	relative_bottleneck	1.840425179144344	0.8415800049525303	3.0926275126038307	0.0	0.006	500
34	primary::BRCA2+PTEN	primary	BRCA2+PTEN	2	6	0.0005472455308281	0.0003902587077804	2	0.0003902587077804	0.0	primary::BRCA2	0.0702460413365428	0.0002370579651087	rule_a_one_step	True	True	True	stable	True	1.4022634691186209	2.048678952952212	1.0346939183298345	False	relative_bottleneck	1.8171819936830556	0.5604934699340721	3.5791827571387302	0.018	0.036	500
35	primary::RB1	primary	RB1	1	18	0.0016417365924844	0.0012893242257026	1	0.0012893242257026	0.0	primary::WT	0.0118195240891333	0.0012893242257026	rule_a_one_step	True	True	True	stable	True	1.273331066370443	1.8603112847637413	0.8955440468225345	True	relative_bottleneck	1.6892793963487558	0.9250171506548917	2.4774499521383144	0.0	0.0	500
36	metastatic::AKT1+GATA3+TP53	metastatic	AKT1+GATA3+TP53	3	7	0.0006384531192995	0.0005038122208417	3	0.0005038122208417	0.0	metastatic::GATA3+TP53	0.0822490447255423	0.0002850660068926	rule_a_one_step	True	True	True	stable	True	1.2672442065132017	1.8514185039463544	0.8886310461122414	False	relative_bottleneck	1.6000377062582278	0.5056250818934342	3.1086976500059214	0.0	0.02	500
37	metastatic::ESR1+GATA3+TP53	metastatic	ESR1+GATA3+TP53	3	6	0.0005472455308281	0.0004396861358785	3	0.0004396861358785	0.0	metastatic::ESR1+TP53	0.0713863109405456	0.0001823072515811	rule_a_one_step	True	True	True	stable	True	1.2446276671654488	1.818376191163665	0.8626506995219281	False	relative_bottleneck	1.5945744291566146	0.5016728366928356	3.1363418184434746	0.01	0.02	500
38	primary::BRCA1	primary	BRCA1	1	17	0.0015505290040131	0.0013043206917837	1	0.0013043206917837	0.0	primary::WT	0.0119570000541115	0.0013043206917837	rule_a_one_step	True	True	True	stable	True	1.1887636319744883	1.7367599502480855	0.7963983628455945	True	relative_bottleneck	1.558811558136592	0.8911579589422556	2.4466393194285616	0.0	0.0	500
39	metastatic::BRCA2+GATA3	metastatic	BRCA2+GATA3	2	8	0.0007296607077708	0.0006260360171702	2	0.0006260360171702	0.0	metastatic::GATA3	0.0239345408267357	0.0003667459739959	rule_a_one_step	True	True	True	stable	True	1.1655251241031377	1.7028089538608129	0.7679165813590074	False	relative_bottleneck	1.522740828166135	0.5709439517462953	2.7300546163592165	0.0	0.0	500
40	primary::GATA3+MAP2K4	primary	GATA3+MAP2K4	2	16	0.0014593214155417	0.0012946702855227	2	0.0012946702855227	0.0	primary::GATA3	0.0257463188640771	0.0007796222056615	rule_a_one_step	True	True	True	stable	True	1.127176108645562	1.6467818073476432	0.7196494158350257	True	relative_bottleneck	1.442965773186871	0.8027890399636264	2.2749850813697985	0.0	0.0	500
41	metastatic::PIK3CA+RB1	metastatic	PIK3CA+RB1	2	12	0.0010944910616563	0.0009775579272771	2	0.0009775579272771	0.0	metastatic::PIK3CA	0.0303763076217837	0.0008422471285135	rule_a_one_step	True	True	True	stable	True	1.1196176001408442	1.6357389772159714	0.7099425488172362	True	relative_bottleneck	1.4682015946029308	0.7419375631732354	2.478155219375848	0.0	0.0	500
42	metastatic::MAP3K1	metastatic	MAP3K1	1	22	0.0020065669463699	0.0018503948506522	1	0.0018503948506522	0.0	metastatic::WT	0.0340398139975687	0.0018503948506522	rule_a_one_step	True	True	True	stable	True	1.0843993348653491	1.5842857942597444	0.6638326111559759	True	relative_bottleneck	1.401225801600272	0.8970399444880047	2.1076851873969416	0.0	0.0	500
