repeat	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	mask	D_true	log2_D_true	truth_level	pilot_count	log2_occupancy_reference
40	s1::E11+E3	s1	E11+E3	2	49	0.0098	0.009032302752671835	2	0.009032302752671835	0.0	s1::E11	0.2621165515068501	0.008702269510027423	rule_a_one_step	True	True	True	stable	True	1.0849946317417314	0.7001710499363443	-0.5142206831876576	True	fast_passing	1028	4.0	2.0	D=4	119	2.807354922057604
40	s1::E15	s1	E15	1	53	0.0106	0.008662937174369787	1	0.008662937174369787	0.0	s1::WT	0.0684276238101879	0.008662937174369787	rule_a_one_step	True	True	True	stable	True	1.2236034713650716	0.7896184019603255	-0.3407724828697133	True	fast_passing	16384	1.0	0.0	D=1	290	2.920565532505595
40	s1::E13	s1	E13	1	12	0.0024	0.007631157645649029	1	0.007631157645649029	0.0	s1::WT	0.0602777065217143	0.007631157645649029	rule_a_one_step	True	True	True	stable	True	0.3145001205752682	0.20295388860569868	-2.300776112484609	True	fast_passing	4096	0.25	-2.0	D=0.25	236	0.777607578663552
40	s1::E11+E7	s1	E11+E7	2	12	0.0024	0.004603336808482123	2	0.004603336808482123	0.0	s1::E11	0.09103279043999091	0.003022288642607698	rule_a_one_step	True	True	True	stable	True	0.5213609386687481	0.3364457529504061	-1.5715541851733186	True	fast_passing	1088	0.5	-1.0	D=0.5	83	0.777607578663552
40	s1::E11+E15	s1	E11+E15	2	19	0.0038	0.0038025012586662063	2	0.0038025012586662063	0.0	s1::E11	0.07251366566216937	0.002407453699984023	rule_a_one_step	True	True	True	stable	True	0.9993422067488215	0.6448976443522003	-0.6328578951321094	True	fast_passing	17408	2.0	1.0	D=2	67	1.4405725913859815
40	s1::E11+E3+E7	s1	E11+E3+E7	3	13	0.0026	0.0035439174825735464	3	0.0035439174825735464	0.0	s1::E11+E3	0.19534035922021886	0.001914335520358145	rule_a_one_step	True	True	True	stable	True	0.7336513934230383	0.4734414820059182	-1.0787419771917701	True	fast_passing	1092	2.0	1.0	D=2	51	0.8930847960834879
40	s1::E11+E3+E6	s1	E11+E3+E6	3	17	0.0034	0.002795777771927953	3	0.002795777771927953	0.0	s1::E11+E3	0.22903928827948397	0.002244585025138943	rule_a_one_step	True	True	True	stable	True	1.2161195474557547	0.7847888602207334	-0.34962353169204435	True	fast_passing	1060	4.0	2.0	D=4	63	1.2801079191927351
40	s1::E11+E8	s1	E11+E8	2	9	0.0018	0.0026361173583522323	2	0.0026361173583522323	0.0	s1::E11	0.052619080671803604	0.0017469534783038797	rule_a_one_step	True	True	True	stable	True	0.68282240683029	0.44064041196494086	-1.1823262814921631	False	fast_passing	1152	1.0	0.0	D=1	61	0.3625700793847081
40	s1::E4+E7	s1	E4+E7	2	25	0.005	0.0024233187707512686	2	0.0024233187707512686	0.0	s1::E7	0.27657088211048614	0.0021572528804617917	rule_a_one_step	True	True	True	stable	True	2.063286125740128	1.331484203437458	0.4130353126960087	True	relative_bottleneck	72	1.0	0.0	D=1	93	1.8365012677171206
40	s1::E11+E4+E7	s1	E11+E4+E7	3	17	0.0034	0.0021912062518388265	3	0.0021912062518388265	0.0	s1::E4+E7	0.2661270106894724	0.0013306350534473621	rule_a_one_step	True	True	True	stable	True	1.5516567623860673	1.0013184514255649	0.0019008705057791317	True	relative_bottleneck	1096	2.0	1.0	D=2	81	1.2801079191927351
40	s1::E10+E6	s1	E10+E6	2	34	0.0068	0.0018773773692788449	2	0.0018773773692788449	0.0	s1::E6	0.23491577634558825	0.00159742727915	rule_a_one_step	True	True	True	stable	True	3.622074127265102	2.337404601314334	1.2249074841363963	True	relative_bottleneck	544	4.0	2.0	D=4	82	2.2801079191927354
40	s1::E10+E4	s1	E10+E4	2	32	0.0064	0.0015865976716429137	2	0.0015865976716429137	0.0	s1::E10	0.2682493457464191	0.0013412467287320956	rule_a_one_step	True	True	True	stable	True	4.033788849153575	2.60309322378811	1.3802269794671436	True	relative_bottleneck	520	2.0	1.0	D=2	119	2.1926450779423963
40	s1::E14+E4	s1	E14+E4	2	7	0.0014	0.001405106392935305	2	0.001405106392935305	0.0	s1::E14	0.23390430859547584	0.0012630832664155696	rule_a_one_step	True	True	True	stable	True	0.9963658311161737	0.6429769232806402	-0.6371611353528294	False	fast_passing	8200	1.0	0.0	D=1	64	0.0
40	s1::E10+E4+E7	s1	E10+E4+E7	3	5	0.001	0.0011380041021055083	3	0.0011380041021055083	0.0	s1::E10+E4	0.09658794451683317	0.0006181628449077323	rule_a_one_step	True	True	True	stable	True	0.8787314538419433	0.5670648560361345	-0.8184143471435368	False	fast_passing	584	0.5	-1.0	D=0.5	60	-0.4854268271702417
40	s1::E3+E7	s1	E3+E7	2	29	0.0058	0.0010950609459495437	2	0.0010950609459495437	0.0	s1::E3	0.1625527354773287	0.0005851898477183833	rule_a_one_step	True	True	True	stable	True	5.296508852915236	3.4179543898661002	1.7731331454186672	True	relative_bottleneck	68	4.0	2.0	D=4	67	2.0506260730699677
40	s1::E4+E8	s1	E4+E8	2	5	0.001	0.0007216117095164224	2	0.0007216117095164224	0.0	s1::E4	0.1619019209344072	0.0004857057628032216	rule_a_one_step	True	True	True	stable	True	1.3857868233379258	0.8942789085756795	-0.16120324416653872	False	fast_passing	136	0.25	-2.0	D=0.25	63	-0.4854268271702417
