state	stage	genotype	event_count	N_v	L_v
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+PIK3CA+SMAD4+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+PIK3CA+SMAD4+TGFBR2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+NRAS+PIK3CA+PTEN+SMAD4+TCF7L2	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+NRAS+PIK3CA+PTEN+SMAD4+TCF7L2	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+NRAS+PIK3CA+PTEN+SMAD4+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+NRAS+PIK3CA+PTEN+SMAD4+TGFBR2+TP53	11	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TCF7L2+TGFBR2+TP53	13	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+TGFBR2	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+PTEN+TGFBR2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+SOX9+TCF7L2	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+SOX9+TCF7L2	9	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+RNF43+TGFBR2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+TP53	primary	APC+ARID1A+BRAF+CTNNB1+FBXW7+PIK3CA+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+PTEN+SMAD4+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+PTEN+SMAD4+TCF7L2+TGFBR2+TP53	11	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+RNF43+SMAD4+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+RNF43+SMAD4+SOX9+TGFBR2	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+SMAD4	primary	APC+ARID1A+BRAF+CTNNB1+KRAS+PIK3CA+SMAD4	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+KRAS+RNF43+TCF7L2	primary	APC+ARID1A+BRAF+CTNNB1+KRAS+RNF43+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+KRAS+RNF43+TGFBR2	primary	APC+ARID1A+BRAF+CTNNB1+KRAS+RNF43+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+PIK3CA+TCF7L2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+PIK3CA+TCF7L2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+RNF43+SMAD4+SOX9	primary	APC+ARID1A+BRAF+CTNNB1+RNF43+SMAD4+SOX9	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+RNF43+SMAD4+TP53	primary	APC+ARID1A+BRAF+CTNNB1+RNF43+SMAD4+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+RNF43+TCF7L2	primary	APC+ARID1A+BRAF+CTNNB1+RNF43+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+CTNNB1+TCF7L2+TP53	primary	APC+ARID1A+BRAF+CTNNB1+TCF7L2+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+KRAS+NRAS+PIK3CA+PTEN+TGFBR2	primary	APC+ARID1A+BRAF+FBXW7+KRAS+NRAS+PIK3CA+PTEN+TGFBR2	9	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+RNF43	primary	APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+RNF43	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+SOX9+TCF7L2	primary	APC+ARID1A+BRAF+FBXW7+KRAS+PIK3CA+SOX9+TCF7L2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+KRAS+SOX9+TP53	primary	APC+ARID1A+BRAF+FBXW7+KRAS+SOX9+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+RNF43+SOX9+TCF7L2+TP53	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+RNF43+SOX9+TCF7L2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+SOX9+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+TCF7L2	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+PTEN+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+SMAD4+SOX9+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+SMAD4+SOX9+TGFBR2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+TCF7L2+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43+TGFBR2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+SOX9	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+SOX9	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+SOX9+TCF7L2+TP53	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+SOX9+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA+TCF7L2+TP53	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA+TCF7L2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PTEN+RNF43+SOX9+TP53	primary	APC+ARID1A+BRAF+FBXW7+PTEN+RNF43+SOX9+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PTEN+TCF7L2	primary	APC+ARID1A+BRAF+FBXW7+PTEN+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+PTEN+TP53	primary	APC+ARID1A+BRAF+FBXW7+PTEN+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43	primary	APC+ARID1A+BRAF+FBXW7+RNF43	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9	primary	APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9+TP53	primary	APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+TGFBR2	primary	APC+ARID1A+BRAF+FBXW7+RNF43+TGFBR2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+RNF43+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+RNF43+TGFBR2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+SOX9	primary	APC+ARID1A+BRAF+FBXW7+SOX9	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+FBXW7+TP53	primary	APC+ARID1A+BRAF+FBXW7+TP53	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS	primary	APC+ARID1A+BRAF+KRAS	4	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	primary	APC+ARID1A+BRAF+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+PIK3CA+PTEN+TP53	primary	APC+ARID1A+BRAF+KRAS+PIK3CA+PTEN+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+PIK3CA+SOX9+TCF7L2	primary	APC+ARID1A+BRAF+KRAS+PIK3CA+SOX9+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+PIK3CA+TCF7L2	primary	APC+ARID1A+BRAF+KRAS+PIK3CA+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+RNF43+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+BRAF+KRAS+RNF43+SMAD4+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+TCF7L2	primary	APC+ARID1A+BRAF+KRAS+TCF7L2	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+KRAS+TGFBR2	primary	APC+ARID1A+BRAF+KRAS+TGFBR2	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+NRAS+PIK3CA+RNF43+TCF7L2	primary	APC+ARID1A+BRAF+NRAS+PIK3CA+RNF43+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+NRAS+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+NRAS+RNF43+TCF7L2+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+NRAS+RNF43+TGFBR2	primary	APC+ARID1A+BRAF+NRAS+RNF43+TGFBR2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA	primary	APC+ARID1A+BRAF+PIK3CA	4	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43	primary	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TP53	primary	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+TP53	primary	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+TCF7L2	primary	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+RNF43	primary	APC+ARID1A+BRAF+PIK3CA+RNF43	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4+TCF7L2	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+SOX9+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+TP53	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+SMAD4+TP53	primary	APC+ARID1A+BRAF+PIK3CA+SMAD4+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PIK3CA+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+PIK3CA+TCF7L2+TGFBR2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN	primary	APC+ARID1A+BRAF+PTEN	4	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+RNF43+SMAD4+TP53	primary	APC+ARID1A+BRAF+PTEN+RNF43+SMAD4+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+RNF43+SOX9	primary	APC+ARID1A+BRAF+PTEN+RNF43+SOX9	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+PTEN+RNF43+SOX9+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+RNF43+TGFBR2+TP53	primary	APC+ARID1A+BRAF+PTEN+RNF43+TGFBR2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+SMAD4+TCF7L2	primary	APC+ARID1A+BRAF+PTEN+SMAD4+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+PTEN+SOX9	primary	APC+ARID1A+BRAF+PTEN+SOX9	5	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+RNF43+SMAD4+SOX9+TCF7L2+TP53	primary	APC+ARID1A+BRAF+RNF43+SMAD4+SOX9+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+RNF43+SOX9+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+RNF43+SOX9+TCF7L2+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+RNF43+SOX9+TCF7L2+TP53	primary	APC+ARID1A+BRAF+RNF43+SOX9+TCF7L2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+RNF43+SOX9+TGFBR2	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+RNF43+SOX9+TP53	primary	APC+ARID1A+BRAF+RNF43+SOX9+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+BRAF+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+SOX9+TGFBR2	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1	primary	APC+ARID1A+CTNNB1	3	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+PTEN+RNF43+SMAD4	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+PTEN+RNF43+SMAD4	10	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+PTEN+RNF43+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+PTEN+RNF43+SMAD4+TCF7L2+TP53	12	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+RNF43+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+NRAS+PIK3CA+RNF43+SMAD4+TCF7L2+TP53	11	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TCF7L2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	10	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+SOX9+TCF7L2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+SOX9+TCF7L2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TCF7L2+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TCF7L2+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+RNF43+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+RNF43+TCF7L2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+SOX9+TCF7L2+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+SOX9+TCF7L2+TGFBR2	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+PTEN+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+RNF43+SOX9+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+RNF43+SOX9+TCF7L2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+KRAS+TCF7L2	primary	APC+ARID1A+CTNNB1+FBXW7+KRAS+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+NRAS+PIK3CA+SMAD4+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+NRAS+PIK3CA+SMAD4+TCF7L2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PIK3CA	primary	APC+ARID1A+CTNNB1+FBXW7+PIK3CA	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PIK3CA+PTEN+RNF43+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+PIK3CA+PTEN+RNF43+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PIK3CA+PTEN+SMAD4	primary	APC+ARID1A+CTNNB1+FBXW7+PIK3CA+PTEN+SMAD4	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PIK3CA+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+PIK3CA+RNF43+TCF7L2+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PIK3CA+SOX9+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+PIK3CA+SOX9+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PTEN+RNF43+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+PTEN+RNF43+TCF7L2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+PTEN+SOX9+TGFBR2+TP53	primary	APC+ARID1A+CTNNB1+FBXW7+PTEN+SOX9+TGFBR2+TP53	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+RNF43+SMAD4+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+RNF43+SMAD4+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+CTNNB1+FBXW7+RNF43+SOX9+TGFBR2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+FBXW7+RNF43+TCF7L2	primary	APC+ARID1A+CTNNB1+FBXW7+RNF43+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+PTEN+RNF43+SMAD4	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+PTEN+RNF43+SMAD4	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+PTEN+TCF7L2	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+PTEN+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+SMAD4	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+SMAD4	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+SOX9+TP53	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+SOX9+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+TP53	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+PTEN+RNF43+TCF7L2	primary	APC+ARID1A+CTNNB1+KRAS+PTEN+RNF43+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+RNF43+SMAD4+SOX9	primary	APC+ARID1A+CTNNB1+KRAS+RNF43+SMAD4+SOX9	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+KRAS+RNF43+SOX9+TCF7L2	primary	APC+ARID1A+CTNNB1+KRAS+RNF43+SOX9+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+NRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+CTNNB1+NRAS+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	9	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+NRAS+PTEN+RNF43+SMAD4+TGFBR2	primary	APC+ARID1A+CTNNB1+NRAS+PTEN+RNF43+SMAD4+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+NRAS+PTEN+RNF43+TP53	primary	APC+ARID1A+CTNNB1+NRAS+PTEN+RNF43+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+NRAS+TP53	primary	APC+ARID1A+CTNNB1+NRAS+TP53	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA	primary	APC+ARID1A+CTNNB1+PIK3CA	4	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+PTEN	primary	APC+ARID1A+CTNNB1+PIK3CA+PTEN	5	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+PTEN+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+CTNNB1+PIK3CA+PTEN+RNF43+TCF7L2+TGFBR2	8	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+PTEN+SMAD4+TCF7L2	primary	APC+ARID1A+CTNNB1+PIK3CA+PTEN+SMAD4+TCF7L2	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+PTEN+TCF7L2+TP53	primary	APC+ARID1A+CTNNB1+PIK3CA+PTEN+TCF7L2+TP53	7	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+RNF43+TCF7L2	primary	APC+ARID1A+CTNNB1+PIK3CA+RNF43+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+SOX9+TCF7L2	primary	APC+ARID1A+CTNNB1+PIK3CA+SOX9+TCF7L2	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+SOX9+TP53	primary	APC+ARID1A+CTNNB1+PIK3CA+SOX9+TP53	6	1	7.878358150161507e-05
primary::APC+ARID1A+CTNNB1+PIK3CA+TCF7L2	primary	APC+ARID1A+CTNNB1+PIK3CA+TCF7L2	5	1	7.878358150161507e-05
